Country,ISO3,Year,y_true,y_pred,error,abs_error,error_type,section
Sri Lanka,LKA,2020,80.7,77.09424999999992,3.6057500000000857,3.6057500000000857,under_predicted,top_under_predicted
Thailand,THA,2021,75.3,72.11368929735411,3.1863107026458835,3.1863107026458835,under_predicted,top_under_predicted
Thailand,THA,2020,76.5,73.31845072983143,3.181549270168574,3.181549270168574,under_predicted,top_under_predicted
Brunei Darussalam,BRN,2021,76.9,73.91266666666661,2.987333333333396,2.987333333333396,under_predicted,top_under_predicted
Central African Republic,CAF,2019,52.9,49.93956333333318,2.9604366666668156,2.9604366666668156,under_predicted,top_under_predicted
Malaysia,MYS,2020,76.8,74.31841541276641,2.481584587233584,2.481584587233584,under_predicted,top_under_predicted
Brunei Darussalam,BRN,2020,76.8,74.34013333333327,2.459866666666727,2.459866666666727,under_predicted,top_under_predicted
Central African Republic,CAF,2021,52.3,49.90122999999987,2.398770000000127,2.398770000000127,under_predicted,top_under_predicted
Nicaragua,NIC,2021,75.0,72.73158626327375,2.268413736726245,2.268413736726245,under_predicted,top_under_predicted
Seychelles,SYC,2020,77.3,75.33178730290027,1.9682126970997302,1.9682126970997302,under_predicted,top_under_predicted
South Sudan,SSD,2018,58.9,57.11999999999999,1.7800000000000082,1.7800000000000082,under_predicted,top_under_predicted
Nicaragua,NIC,2019,78.9,77.32340277777776,1.5765972222222473,1.5765972222222473,under_predicted,top_under_predicted
Thailand,THA,2019,76.9,75.41106342227216,1.4889365777278414,1.4889365777278414,under_predicted,top_under_predicted
Dominica,DMA,2018,73.5,72.03570971032201,1.4642902896779901,1.4642902896779901,under_predicted,top_under_predicted
Central African Republic,CAF,2020,53.1,51.79266666666663,1.3073333333333679,1.3073333333333679,under_predicted,top_under_predicted
El Salvador,SLV,2018,74.7,73.41055126651682,1.2894487334831837,1.2894487334831837,under_predicted,top_under_predicted
Thailand,THA,2018,77.1,75.82362006148223,1.2763799385177634,1.2763799385177634,under_predicted,top_under_predicted
Dominican Republic,DOM,2019,73.9,72.66461895687846,1.2353810431215493,1.2353810431215493,under_predicted,top_under_predicted
Botswana,BWA,2019,64.9,63.694499999999984,1.205500000000022,1.205500000000022,under_predicted,top_under_predicted
Andorra,AND,2018,73.5,72.32220707070704,1.1777929292929628,1.1777929292929628,under_predicted,top_under_predicted
United States,USA,2021,76.4,75.24024450438782,1.1597554956121883,1.1597554956121883,under_predicted,top_under_predicted
Barbados,BRB,2021,76.8,75.64763333333332,1.1523666666666799,1.1523666666666799,under_predicted,top_under_predicted
Belize,BLZ,2019,74.9,73.74777247817431,1.1522275218256937,1.1522275218256937,under_predicted,top_under_predicted
New Zealand,NZL,2020,82.5,81.35230440187847,1.1476955981215298,1.1476955981215298,under_predicted,top_under_predicted
South Africa,ZAF,2019,65.8,64.65968718487396,1.1403128151260375,1.1403128151260375,under_predicted,top_under_predicted
Maldives,MDV,2021,75.4,80.03728796296298,-4.637287962962972,4.637287962962972,over_predicted,top_over_predicted
United Arab Emirates,ARE,2021,78.3,82.13241303511315,-3.8324130351131487,3.8324130351131487,over_predicted,top_over_predicted
Maldives,MDV,2019,75.4,78.80833333333344,-3.408333333333431,3.408333333333431,over_predicted,top_over_predicted
Maldives,MDV,2020,76.2,78.91600000000011,-2.7160000000001077,2.7160000000001077,over_predicted,top_over_predicted
Jamaica,JAM,2021,70.1,72.54898981637456,-2.4489898163745636,2.4489898163745636,over_predicted,top_over_predicted
"Moldova, Republic of",MDA,2021,69.6,72.00574201201839,-2.4057420120183934,2.4057420120183934,over_predicted,top_over_predicted
North Macedonia,MKD,2020,74.4,76.71920568783074,-2.319205687830731,2.319205687830731,over_predicted,top_over_predicted
Bosnia and Herzegovina,BIH,2021,74.8,76.90429906047116,-2.1042990604711633,2.1042990604711633,over_predicted,top_over_predicted
Egypt,EGY,2021,69.1,71.1991253968254,-2.0991253968254,2.0991253968254,over_predicted,top_over_predicted
Lebanon,LBN,2021,74.3,76.35336111111117,-2.0533611111111725,2.0533611111111725,over_predicted,top_over_predicted
Qatar,QAT,2021,76.7,78.69966666666674,-1.9996666666667409,1.9996666666667409,over_predicted,top_over_predicted
North Macedonia,MKD,2021,73.0,74.94624725224541,-1.9462472522454135,1.9462472522454135,over_predicted,top_over_predicted
Serbia,SRB,2021,72.8,74.73769662706094,-1.9376966270609444,1.9376966270609444,over_predicted,top_over_predicted
Kazakhstan,KAZ,2021,70.3,72.2170859403037,-1.917085940303707,1.917085940303707,over_predicted,top_over_predicted
Paraguay,PRY,2021,70.3,72.15757065580614,-1.8575706558061427,1.8575706558061427,over_predicted,top_over_predicted
Indonesia,IDN,2021,68.3,70.11600697450703,-1.816006974507033,1.816006974507033,over_predicted,top_over_predicted
Armenia,ARM,2020,69.3,71.10066666666671,-1.8006666666667144,1.8006666666667144,over_predicted,top_over_predicted
Albania,ALB,2020,76.5,78.27966666666664,-1.7796666666666425,1.7796666666666425,over_predicted,top_over_predicted
"Palestine, State of",PSE,2019,75.8,77.5634259259259,-1.763425925925901,1.763425925925901,over_predicted,top_over_predicted
Azerbaijan,AZE,2020,71.4,73.08988717675983,-1.6898871767598251,1.6898871767598251,over_predicted,top_over_predicted
Saint Lucia,LCA,2021,71.1,72.76050284440484,-1.6605028444048457,1.6605028444048457,over_predicted,top_over_predicted
Iraq,IRQ,2020,70.4,72.05966236995162,-1.6596623699516186,1.6596623699516186,over_predicted,top_over_predicted
Bahrain,BHR,2019,76.0,77.60112499999997,-1.6011249999999677,1.6011249999999677,over_predicted,top_over_predicted
Bulgaria,BGR,2021,71.3,72.87716816156707,-1.577168161567073,1.577168161567073,over_predicted,top_over_predicted
Egypt,EGY,2020,70.1,71.67103543213221,-1.57103543213222,1.57103543213222,over_predicted,top_over_predicted
